pk,name,country,latitude,longitude,collector,collection_date,cs_number,species,genotypes,count_phenotypes
6853,NFC-9,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,0
6854,NFE-1,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,0
6855,NFE-10,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,0
6856,NFE-15,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,0
6857,NFE-16,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,0
6858,NFE-17,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,0
6859,NFE-18,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,0
6860,NFE-19,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,0
6861,NFE-5,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,0
6862,NFE-6,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,0
6863,NFE-7,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,0
6864,NFE-8,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,0
6865,NFE-9,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,0
6866,Ren-1,France,48.5,-1.41,Gerhard Röbbelen,,,Arabidopsis thaliana,,0
6867,Ren-11,France,48.5,-1.41,Gerhard Röbbelen,,,Arabidopsis thaliana,,0
6868,Ren-17,France,48.5,-1.41,Gerhard Röbbelen,,,Arabidopsis thaliana,,0
6869,Ren-19,France,48.5,-1.41,Gerhard Röbbelen,,,Arabidopsis thaliana,,0
6870,Ren-20,France,48.5,-1.41,Gerhard Röbbelen,,,Arabidopsis thaliana,,0
6871,Ren-21,France,48.5,-1.41,Gerhard Röbbelen,,,Arabidopsis thaliana,,0
6872,Ren-23,France,48.5,-1.41,Gerhard Röbbelen,,,Arabidopsis thaliana,,0
6873,Ren-24,France,48.5,-1.41,Gerhard Röbbelen,,,Arabidopsis thaliana,,0
6874,Ren-3,France,48.5,-1.41,Gerhard Röbbelen,,,Arabidopsis thaliana,,0
6875,Ren-5,France,48.5,-1.41,Gerhard Röbbelen,,,Arabidopsis thaliana,,0
6876,RP-1,US,42.4406,-76.4992,Michael Nachman,,,Arabidopsis thaliana,,0
6877,RP-10,US,42.4406,-76.4992,Michael Nachman,,,Arabidopsis thaliana,,0
6878,RP-11,US,42.4406,-76.4992,Michael Nachman,,,Arabidopsis thaliana,,0
6879,RP-14,US,42.4406,-76.4992,Michael Nachman,,,Arabidopsis thaliana,,0
6880,RP-15,US,42.4406,-76.4992,Michael Nachman,,,Arabidopsis thaliana,,0
6881,RP-16,US,42.4406,-76.4992,Michael Nachman,,,Arabidopsis thaliana,,0
6882,RP-17,US,42.4406,-76.4992,Michael Nachman,,,Arabidopsis thaliana,,0
6883,RP-18,US,42.4406,-76.4992,Michael Nachman,,,Arabidopsis thaliana,,0
6884,RP-19,US,42.4406,-76.4992,Michael Nachman,,,Arabidopsis thaliana,,0
6885,RP-2,US,42.4406,-76.4992,Michael Nachman,,,Arabidopsis thaliana,,0
6886,RP-20,US,42.4406,-76.4992,Michael Nachman,,,Arabidopsis thaliana,,0
6887,RP-21,US,42.4406,-76.4992,Michael Nachman,,,Arabidopsis thaliana,,0
6888,RP-22,US,42.4406,-76.4992,Michael Nachman,,,Arabidopsis thaliana,,0
6889,RP-3,US,42.4406,-76.4992,Michael Nachman,,,Arabidopsis thaliana,,0
6890,RP-4,US,42.4406,-76.4992,Michael Nachman,,,Arabidopsis thaliana,,0
6891,RP-5,US,42.4406,-76.4992,Michael Nachman,,,Arabidopsis thaliana,,0
6892,RP-6,US,42.4406,-76.4992,Michael Nachman,,,Arabidopsis thaliana,,0
6893,RP-7,US,42.4406,-76.4992,Michael Nachman,,,Arabidopsis thaliana,,0
6894,RP-8,US,42.4406,-76.4992,Michael Nachman,,,Arabidopsis thaliana,,0
6895,RP-9,US,42.4406,-76.4992,Michael Nachman,,,Arabidopsis thaliana,,0
6896,Sq-4,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,0
6897,Ag-0,France,45.0,1.3,Albert Kranz,,CS76430,Arabidopsis thaliana,,411
6898,An-1,Belgium,51.2167,4.4,Albert Kranz,,CS76435,Arabidopsis thaliana,,437
6899,Bay-0,GER,49.0,11.0,Albert Kranz,,,Arabidopsis thaliana,,312
6900,Bil-5,Sweden,63.324,18.484,Magnus Nordborg,,CS76709,Arabidopsis thaliana,,125
6901,Bil-7,Sweden,63.324,18.484,Magnus Nordborg,,CS76710,Arabidopsis thaliana,,116
6903,Bor-4,Czech Republic,49.4013,16.2326,Jirina Relichov,,CS76454,Arabidopsis thaliana,,325
6904,Br-0,Czech Republic,49.2,16.6166,Albert Kranz,,CS76455,Arabidopsis thaliana,,273
6905,Bur-0,Ireland,54.1,-6.2,Albert Kranz,,,Arabidopsis thaliana,,162
6906,C24,POR,40.2077,-8.42639,Brigitte Damm,,,Arabidopsis thaliana,,317
6907,CIBC-17,UK,51.4083,-0.6383,Mick Crawley,,CS76770,Arabidopsis thaliana,,256
6908,CIBC-5,UK,51.4083,-0.6383,Mick Crawley,,CS78894,Arabidopsis thaliana,,110
6909,Col-0,US,38.3,-92.3,Albert Kranz,,CS76778,Arabidopsis thaliana,,323
6910,Ct-1,Italy,37.3,15.0,Albert Kranz,,,Arabidopsis thaliana,,277
6911,Cvi-0,Cape Verde,15.1111,-23.6167,Albert Kranz,,CS76789,Arabidopsis thaliana,,298
6913,Eden-2,Sweden,62.877,18.177,Magnus Nordborg,,CS76827,Arabidopsis thaliana,,293
6914,Edi-0,UK,55.9494,-3.16028,Albert Kranz,,,Arabidopsis thaliana,,221
6915,Ei-2,GER,50.3,6.3,Albert Kranz,,CS76478,Arabidopsis thaliana,,354
6916,Est-1,Russia,58.3,25.3,Albert Kranz,,,Arabidopsis thaliana,,280
6917,Fäb-2,Sweden,63.0165,18.3174,Magnus Nordborg,,CS76850,Arabidopsis thaliana,,142
6918,Fäb-4,Sweden,63.0165,18.3174,Magnus Nordborg,,CS76851,Arabidopsis thaliana,,136
6919,Ga-0,GER,50.3,8.0,Albert Kranz,,CS76490,Arabidopsis thaliana,,312
6920,Got-22,GER,51.5338,9.9355,Gerhard Röbbelen,,CS76884,Arabidopsis thaliana,,164
6921,Got-7,GER,51.5338,9.9355,Gerhard Röbbelen,,,Arabidopsis thaliana,,222
6922,Gu-0,GER,50.3,8.0,Albert Kranz,,CS76498,Arabidopsis thaliana,,193
6923,HR-10,UK,51.4083,-0.6383,Mick Crawley,,CS76940,Arabidopsis thaliana,,187
6924,HR-5,UK,51.4083,-0.6383,Mick Crawley,,CS76514,Arabidopsis thaliana,,279
6926,Kin-0,US,44.46,-85.37,Albert Kranz,,CS76527,Arabidopsis thaliana,,305
6927,KNO-10,US,41.2816,-86.621,Joy Bergelson,,CS76973,Arabidopsis thaliana,,107
6928,KNO-18,US,41.2816,-86.621,Joy Bergelson,,,Arabidopsis thaliana,,309
6929,Kondara,Tajikistan,38.48,68.49,Igor Vizir,,CS76532,Arabidopsis thaliana,,317
